lon,lat,jobs
4.77873,45.60906,97.6
4.77838,45.61266,3.5
4.77495,45.64860,9.8
4.76944,45.70610,101.0
4.76927,45.70790,81.5
4.76910,45.70969,10.7
4.76737,45.72766,1.6
4.76703,45.73126,244.3
4.76651,45.73665,15.7
4.76530,45.74922,12.5
4.76513,45.75102,30.7
4.76444,45.75821,105.3
4.76427,45.76000,48.5
4.76392,45.76360,50.4
4.76375,45.76540,3.9
4.76358,45.76719,14.9
4.76340,45.76899,5.8
4.76271,45.77618,4.4
4.76219,45.78157,1.6
4.76202,45.78336,177.9
4.76081,45.79594,1.6
4.75942,45.81031,1.3
4.75925,45.81211,195.1
4.75908,45.81391,218.2
4.75890,45.81570,260.8
4.75856,45.81930,32.6
4.75838,45.82109,1.3
4.75821,45.82289,19.1
4.75804,45.82469,5.2
4.74953,45.91272,4.4
4.74935,45.91452,4.4
4.78419,45.57864,1.6
4.78231,45.59841,38.2
4.78214,45.60021,65.8
4.78197,45.60200,21.7
4.78180,45.60380,1.8
4.78162,45.60560,148.1
4.78145,45.60739,3.5
4.77751,45.64872,77.7
4.77321,45.69365,7.3
4.77304,45.69544,3.9
4.77200,45.70623,35.1
4.77183,45.70802,25.4
4.77166,45.70982,32.7
4.77149,45.71162,56.6
4.76907,45.73677,1.6
4.76873,45.74037,3.2
4.76769,45.75115,13.6
4.76752,45.75294,7.1
4.76735,45.75474,3.9
4.76717,45.75654,11.6
4.76700,45.75833,20.7
4.76683,45.76013,1.9
4.76666,45.76193,1.9
4.76648,45.76372,22.6
4.76631,45.76552,5.2
4.76614,45.76732,75.8
4.76579,45.77091,1.6
4.76562,45.77271,1.6
4.76527,45.77630,8.2
4.76510,45.77810,4.4
4.76493,45.77990,1.6
4.76458,45.78349,17.5
4.76424,45.78708,39.3
4.76406,45.78888,1.6
4.76372,45.79247,1.6
4.76337,45.79607,3.5
4.76320,45.79786,6.5
4.76285,45.80146,199.9
4.76251,45.80505,235.6
4.76233,45.80685,106.0
4.76216,45.80864,78.7
4.76199,45.81044,139.9
4.76181,45.81224,192.1
4.76164,45.81403,124.7
4.76130,45.81763,283.8
4.76112,45.81942,42.6
4.76095,45.82122,81.7
4.76060,45.82481,9.1
4.75818,45.84997,1.8
4.78709,45.57517,19.4
4.78692,45.57697,16.8
4.78486,45.59853,3.5
4.78469,45.60033,65.8
4.78452,45.60213,89.9
4.78401,45.60752,1.8
4.78384,45.60932,1.8
4.78366,45.61111,3.5
4.78349,45.61291,1.8
4.77577,45.69377,1.5
